영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
엔하이픈 [워크 더 라인 썸머 에디션] 인 시네마,ENHYPEN [WALK THE LINE SUMMER EDITION] IN CINEMAS,2025,한국,장편,공연,개봉,"박재석,오윤동","씨제이포디플렉스 주식회사,스크린엑스 스튜디오"
스페셜즈,Specials,2026,일본,장편,"코미디,액션",개봉,우치다 에이지,
판결,The Verdict,2025,한국,장편,"드라마,스릴러",개봉,이창희,"주식회사 잉크픽처스,주식회사 표범영화사,무비파킹 주식회사,(주)조이엔시네마"
콜드 미트,Cold Meat,2023,영국,장편,스릴러,개봉,,
"오, 발렌타인","Oh, Valentine",2025,한국,장편,다큐멘터리,개봉,홍진훤,(주)시네마달
아르코,ARCO,2025,프랑스,장편,애니메이션,개봉,우고 비엔베누,
호퍼스,HOPPERS,2026,미국,장편,애니메이션,개봉,다니엘 총,
우리는 매일매일,,2026,한국,장편,멜로/로맨스,개봉,김민재,(주)초이스웰
허리 업 투모로우,Hurry Up Tomorrow,2025,미국,장편,"스릴러,드라마",개봉,트레이 에드워드 슐츠,
차임,Chime,2024,일본,장편,"스릴러,공포(호러)",개봉,구로사와 기요시,
좀비 랜드 사가: 유메긴가 파라다이스,Zombie Land Saga: Yumeginga Paradise,2025,일본,장편,애니메이션,개봉,,
우리에게는 아직 내일이 있다,There's Still Tomorrow,2023,이탈리아,장편,드라마,개봉,,
브라이드!,The Bride!,2026,미국,장편,"액션,멜로/로맨스,드라마",개봉,매기 질렌할,
다이 마이 러브,Die My Love,2025,미국,장편,"드라마,스릴러",개봉,린 램지,
노 어더 랜드,No Other Land,2024,"팔레스타인,노르웨이",장편,다큐멘터리,개봉,,
결혼해줄래?,Will you marry me?,2025,한국,장편,드라마,개봉,장완복,씨네움
번식을 꿈꾸는 편부가정 껍질 벗기는 가정부,HCUP DONARINOOKUSAN-07,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
디데이 24시간,24 HOURS TO D-DAY,2024,미국,장편,"전쟁,액션",개봉,,
한여자 두남자 : 노천탕에서 2대1,,2025,일본,장편,멜로/로맨스,개봉,,
"금지된 사랑 : 시아버지와 며느리, 장모와 사위",,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
너무 조이는 그녀의 구멍,,2025,일본,장편,멜로/로맨스,개봉,,
나는 여기가 젖었다,,2025,일본,장편,멜로/로맨스,개봉,,
거유녀의 가슴 온기,,2025,일본,장편,멜로/로맨스,개봉,,
거기 넣어줄래요,,2025,일본,장편,멜로/로맨스,개봉,,
루팡 3세 더 무비: 불사신의 혈족,LUPIN THE IIIRD THE MOVIE 2025,2025,일본,장편,"애니메이션,액션",개봉,코이케 타케시,
28년 후: 뼈의 사원,28 Years Later: The Bone Temple,2026,미국,장편,"공포(호러),스릴러",개봉,니아 다코스타,
스와핑 : 아내의 뜨거운 신음소리,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
불륜은 미친 짓이다,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
남편의 성폭력을 달래주는 이웃집 남자,DV Guy More Than Husband,2025,일본,장편,드라마,개봉,,
로스트 호라이즌,Lost Horizon,2025,남아프리카공화국,장편,액션,개봉,,
착한 엄마들 2,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
위기의 스튜어디스 : 기장이 노린다,,2025,일본,장편,멜로/로맨스,개봉,,
악의 진화 퍼스트레이디2,,2026,한국,장편,"다큐멘터리,드라마",개봉,문승욱,"서울의소리,영화사키노(주)"
사운드 오브 호프 : 포썸 트롯의 기적,Sound of Hope: The Story of Possum Trot,2024,미국,장편,드라마,개봉,조슈아 웨이겔,
2대1 : 여자도 하고 싶다,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
투 마더스,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
스트레이 키즈 : 더 도미네이트 익스피리언스,Stray Kids : The dominATE Experience,2025,미국,장편,공연,개봉,,
초속 5센티미터,5 Centimeters per Second,2025,일본,장편,"드라마,멜로/로맨스",개봉,오쿠야마 요시유키,
아기 티라노 디보: 초식이지만 괜찮아!,Jurassicland&Dinosaurs,2025,중국,장편,애니메이션,개봉,,
레이의 겨울방학,Rei's Winter Break,2025,한국,장편,드라마,개봉,박석영,영화사 삼순
도망쳐,,2024,한국,장편,"액션,범죄",개봉,손현우,
너자 2,Ne Zha 2,2025,중국,장편,애니메이션,개봉,,
햄넷,HAMNET,2024,미국,장편,드라마,개봉,클로이 자오,
동창 : 최후의 만찬,Reunion : The last supper,2024,한국,장편,"드라마,코미디",개봉,배세웅,에이치 크리에이티브 그룹
겨울의 빛,Winter Light,2024,한국,장편,드라마,개봉,조현서,한국영화아카데미
"미스터김, 영화관에 가다",Mr. Kim Goes to the Cinema,2025,한국,장편,다큐멘터리,개봉,김동호,"(주)타이거스튜디오,(주)사나이픽처스"
점보,Jumbo,2025,인도네시아,장편,애니메이션,개봉,,
센티멘탈 밸류,Sentimental Value,2025,노르웨이,장편,드라마,개봉,요아킴 트리에,
아웃 오브 네스트,Out of the Nest,2024,태국,장편,"애니메이션,어드벤처",개봉,"앤드류 고든,제프 슈,아르투로 A. 아르난데스,비라파트라 지나나빈",
영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제2장,Love Live! Nijigasaki High School idol Club The Movie – Finale – Chapter 2,2025,일본,장편,애니메이션,개봉,,
남쪽,The South,1983,"스페인,프랑스",장편,"드라마,멜로/로맨스",개봉,빅토르 에리세,
귀신 부르는 앱: 영,,2025,한국,장편,"공포(호러),스릴러",개봉,,(주)하트피플
더 로즈: 컴 백 투 미,The Rose: Come Back to Me,2025,미국,장편,"공연,다큐멘터리",개봉,이성민,
몬테크리스토 백작,LE COMTE DE MONTE CRISTO,2024,프랑스,장편,드라마,개봉,알렉상드르 드 라 파텔리에르,
모두가 그녀를 사랑해,Everybody Loves Touda,2024,"프랑스,노르웨이",장편,드라마,개봉,나빌 아유쉬,
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지생물 구조작전,Octonauts: Above and Beyond – Season 2,2026,영국,장편,"애니메이션,액션,어드벤처",개봉,,
나이트 라이더,Jackdaw,2023,미국,장편,"액션,드라마",개봉,,
폭풍의 언덕,Wuthering Heights,2025,미국,장편,"드라마,멜로/로맨스",개봉,에머랄드 펜넬,
안녕하세요,Good Morning,1959,일본,장편,드라마,개봉,오즈 야스지로,
굿 포 낫씽,Good For Nothing,2010,일본,장편,드라마,개봉,미야케 쇼,
잊혀진 대통령: 김영삼의 개혁시대,,2025,한국,장편,다큐멘터리,개봉,이재진,(주)다자인소프트
드림 홈,Dream Home,2010,홍콩,장편,"공포(호러),스릴러",개봉,팡호청,
시라트,Sirat,2025,스페인,장편,드라마,개봉,올리베르 라셰,
하우스메이드,The Housemaid,2025,미국,장편,"스릴러,미스터리",개봉,폴 페이그,
모험의 세계 원더월드 대탐험,Welcome to Wonder World,2025,한국,장편,"애니메이션,어드벤처",개봉,토마스 프레데릭센,콘텐츠비
시스터즈,THE SISTERS,2024,베트남,장편,공포(호러),개봉,,
불륜남녀 : 좋아 죽는 여자들,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
"2024.12.03 그날 조작된 내란, 감춰진 진실",,2026,한국,장편,다큐멘터리,개봉,,
매춘 2026,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
17살은 멈추지 않아!,"17, Unstoppable",2023,일본,장편,"드라마,멜로/로맨스",개봉,,
클라이밍: 더 사운드,THE SOUND,2025,미국,장편,"스릴러,공포(호러)",개봉,,
키스가 멈춘 순간,,2024,일본,장편,멜로/로맨스,개봉,,
"오리카, 모두의 연인",,2024,일본,장편,멜로/로맨스,개봉,,
"스무살, 서른살, 마흔살의 교코",,2024,일본,장편,멜로/로맨스,개봉,,
사디즘의 여자,,2024,일본,장편,멜로/로맨스,개봉,,
버밀리언 : 주홍색 그림물감,,2024,일본,장편,멜로/로맨스,개봉,,
꽃집 남자의 사랑,,2024,일본,장편,멜로/로맨스,개봉,,
그 후로 사랑은 계속된다,,2024,일본,장편,멜로/로맨스,개봉,,
치마속 젖은 손길 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
참을 수 없는 이모의 야한 속옷 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
젖어드는 다리 사이 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
젖어드는 다리 사이,,2025,일본,장편,멜로/로맨스,개봉,,
잘 넣어주는 가정교사 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
잘 넣어주는 가정교사,,2025,일본,장편,멜로/로맨스,개봉,,
작가의 취향,,2024,일본,장편,멜로/로맨스,개봉,,
음란한 영업 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
유부녀 잡아먹는 대물 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
유부녀 잡아먹는 대물,,2025,일본,장편,멜로/로맨스,개봉,,
운전기사와 회사원 그리고 창녀,,2024,일본,장편,멜로/로맨스,개봉,,
여배우의 인터뷰,,2024,일본,장편,멜로/로맨스,개봉,,
엄마와 나 그리고 사랑의 적,,2024,일본,장편,멜로/로맨스,개봉,,
삽입 후 최고의 순간 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
빼달라고 사정하는 그녀 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
빼달라고 사정하는 그녀,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
비눗방울의 시,,2024,일본,장편,멜로/로맨스,개봉,,
"변태, 여직원 그리고 부장",,2024,일본,장편,멜로/로맨스,개봉,,
못참고 결국 싸버린 그녀,,2025,일본,장편,멜로/로맨스,개봉,,
며느리를 뚫은 솟은 거근,,2024,일본,장편,멜로/로맨스,개봉,,
매춘부의 꿈,,2024,일본,장편,멜로/로맨스,개봉,,
마사지에 무너지는 유부녀 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
등을 맞댄 두 사람,,2024,일본,장편,멜로/로맨스,개봉,,
두근두근 그녀의 섹스 무삭제판,,2023,일본,장편,멜로/로맨스,개봉,,
너무 궁금한 그녀의 치마속 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
내 아내의 비밀친구 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,세타가야 히로시,
나나미의 삽입결단 무삭제판,,2024,일본,장편,멜로/로맨스,개봉,,
그녀의 위험한 유혹 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
그녀의 위험한 유혹,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
감독의 딸들,,2024,일본,장편,멜로/로맨스,개봉,,
가출 소녀와 아저씨,,2024,일본,장편,멜로/로맨스,개봉,,
백악관 최후의 날: 프레지던트 다운,President Down 2025,2025,미국,장편,"스릴러,액션",개봉,,
위험한 제수씨:아주버님의 야릇한 눈빛,ANINOMONO,2023,일본,장편,"멜로/로맨스,드라마",개봉,,
발정난 며느리:시아버지에게 들키다,SIRAKI HADAKA,2023,일본,장편,"멜로/로맨스,드라마",개봉,,
엘리트 여직원 : 중년 청소부와 섹스에 빠지다,,2025,일본,장편,멜로/로맨스,개봉,,
"금지된 사랑 : 새아빠, 시아버지 그리고",,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
극장판 엉덩이 탐정: 스타 앤드 문,Butt Detective the Movie Star and Moon,2025,일본,장편,애니메이션,개봉,,
매력적인 엄마들,,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
나이트 플라워,Night Flower,2025,일본,장편,드라마,개봉,우치다 에이지,
친형에게 반해버린 내 젊은아내 ,My Brother Who Raised Me,2025,일본,장편,드라마,개봉,,
"불법 서비스 : 노래방, 미용실에서",,2025,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
우타다 히카루 사이언스 픽션 투어 2024,HIKARU UTADA SCIENCE FICTION TOUR 2024,2024,일본,장편,공연,개봉,,
치마속 젖은 손길,,2025,일본,장편,멜로/로맨스,개봉,,
참을 수 없는 이모의 야한 속옷,,2025,일본,장편,멜로/로맨스,개봉,,
음란한 코스프레 무삭제판,,2023,일본,장편,멜로/로맨스,개봉,키타노 마지메,
음란한 영업,,2025,일본,장편,멜로/로맨스,개봉,,
"어떤 키스, 어떤 삽입 무삭제판",,2025,일본,장편,멜로/로맨스,개봉,사루,
스스로 열어준 그녀의 구멍 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,카니에,
삽입 후 최고의 순간,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
마사지에 무너지는 유부녀,,2025,일본,장편,멜로/로맨스,개봉,후카가와 지로,
두근두근 그녀의 섹스,,2023,일본,장편,멜로/로맨스,개봉,,
달콤한 사육 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,카니에,
너무 궁금한 그녀의 치마속,,2025,일본,장편,멜로/로맨스,개봉,,
내손으로 길들이는 그녀 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
내 아내의 비밀친구,,2025,일본,장편,멜로/로맨스,개봉,세타가야 히로시,
나나미의 삽입결단,,2025,일본,장편,멜로/로맨스,개봉,,
인피니트 아이콘: 비주얼 메모아르,Infinite Icon: A Visual Memoir,2025,미국,장편,다큐멘터리,개봉,,
보이,Boy,2025,한국,장편,"범죄,멜로/로맨스",개봉,이상덕,
프로젝트 아스트로,The Astronaut,2025,미국,장편,"공포(호러),스릴러,SF",개봉,,
언더닌자,Under Ninja,2025,일본,장편,"드라마,코미디,액션",개봉,후쿠다 유이치,
영원,ETERNITY,2025,미국,장편,"멜로/로맨스,코미디,판타지",개봉,데이빗 프레인,
직장상사 길들이기,Send Help,2025,미국,장편,스릴러,개봉,샘 레이미,
허밍,Humming,2023,한국,장편,드라마,개봉,이승재,오카피필름
해상화,Flowers Of Shanghai,1998,일본,장편,드라마,개봉,허우 샤오시엔,
프레젠스 ,Presence,2024,미국,장편,"공포(호러),스릴러",개봉,스티븐 소더버그,
아이엠스타!X프리파라 더 무비 -만남의 기적!-,Aikatsu! Pripara THE MOVIE -Miraculous Meeting!- ,2025,일본,장편,애니메이션,개봉,오오카와 타카히로,
당신이 영화를 그만두면 안 되는 30가지 이유,project 30,2025,한국,옴니버스,드라마,개봉,,"한국예술종합학교,(주)아토"
노 머시: 90분,Mercy,2025,미국,장편,스릴러,개봉,티무르 베크맘베토브,
정글비트 2,Jungle Beat 2: The Past,2025,영국,장편,애니메이션,개봉,샘 윌슨,
분노의 총잡이,The gunslingers,2025,미국,장편,액션,개봉,,
대디오,Daddio,2024,미국,장편,드라마,개봉,크리스티 홀,
프라이메이트,Primate,2025,미국,장편,"공포(호러),스릴러",개봉,요하네스 로버츠,
타년타일,Measure in Love,2025,홍콩,장편,"멜로/로맨스,판타지",개봉,,
얼음 여왕,North,2025,노르웨이,장편,애니메이션,개봉,,
물의 연대기,The Chronology of Water,2025,미국,장편,드라마,개봉,크리스틴 스튜어트,
두 피아노를 위한 콘체르토,Prodigies,2024,프랑스,장편,드라마,개봉,,
두 번째 계절,Out of Season,2023,프랑스,장편,멜로/로맨스,개봉,스테판 브리제,
당신이 영화를 그만두면 안 되는 30가지 이유: 3막 Impact Zone 폭발,PROJECT 30 Impact Zone,2025,한국,옴니버스,드라마,개봉,,"한국예술종합학교,(주)아토"
극장판 총집편 걸즈 밴드 크라이 청춘광주곡,GIRLS BAND CRY The Movie: Youth Rhapsody,2025,일본,장편,애니메이션,개봉,사카이 카즈오,
"신비아파트 10주년 극장판: 한 번 더, 소환",Shinbi's Haunted House: One More Summon,2025,한국,장편,애니메이션,개봉,최우석,(주)씨제이이엔엠
19금 마사지클럽:규칙위반 스릴만점섹스,KAISYUN MAXTUSAJI-03,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
멜라니아,Melania,2025,미국,,다큐멘터리,개봉예정,브렛 래트너,
"직사각형, 삼각형","Rectangle, Triangle",2025,한국,장편,드라마,개봉,이희준,(주)비에이치 엔터테인먼트
나는 갱년기다,Climacteric Woman,2025,한국,장편,드라마,개봉,조연진,스튜디오 션샤인
떡에 환장하는 여대생과의 속궁합,GURADORU GAKUSEI,2022,일본,장편,"멜로/로맨스,드라마",개봉,,
대한민국은 국민이 합니다,,2025,한국,장편,다큐멘터리,개봉,조은성,
나만의 비밀, I Have a S/e/c/r/e/t/,2025,일본,장편,드라마,개봉,나카가와 슌,
슈가,SUGAR,2025,한국,장편,"드라마,가족",개봉,최신춘,"호랑이기운,(주)메시지필름"
러브 인 베트남,Love In Vietnam,2025,인도,장편,"멜로/로맨스,뮤지컬",개봉,,
데몬 프린스,The Demon Prince,2025,베트남,장편,공포(호러),개봉,쯔언 흐우 떤,
731,731,2025,중국,장편,드라마,개봉,조림산,
리틀 아멜리,Little Amélie or the Character of Rain,2025,프랑스,장편,애니메이션,개봉,"메일리스 발라데,리안 조 한",
위기의 유부녀:남편 상사에게 몸 바친 아내,JYOSITOBUKANO KUDUKURI-01,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
튜즈데이,TUESDAY,2023,미국,장편,"드라마,판타지",개봉,,(주)싸이더스
광장,The Square,2025,한국,장편,애니메이션,개봉,김보솔,한국영화아카데미
송 썽 블루,Song Sung Blue,2025,미국,장편,드라마,개봉,크레이그 브로워,
네 멋대로 해라,Breathless,1960,프랑스,장편,"드라마,범죄",개봉,장 뤽 고다르,
끝이 없는 스칼렛,Scarlet,2025,일본,장편,애니메이션,개봉,호소다 마모루,
고고다이노 극장판: 곤충세계 대모험,,2025,한국,장편,애니메이션,개봉,이선명,(주)모꼬지
굿 포츈,Good Fortune,2025,미국,장편,"코미디,판타지",개봉,아지즈 안사리,
어리석은 자는 누구인가,Baka's Identity,2025,일본,장편,"스릴러,드라마",개봉,나가타 고토,
부흥,The Revival,2025,한국,장편,다큐멘터리,개봉,윤학렬,주식회사 해밀리미디어더하세
피렌체,Florence Knockin' On You,2025,한국,장편,드라마,개봉,이창열,(주)영화사 순수
스노우 폭스 : 마법의 돌을 찾아서,Arctic Dogs : In Search of Arctic Idol,2025,미국,장편,애니메이션,개봉,,
시수: 복수의 길,SISU: ROAD TO REVENGE,2025,미국,장편,"액션,전쟁",개봉,얄마리 헬렌더,
마이 선샤인,My Sunshine,2024,일본,장편,드라마,개봉,오쿠야마 히로시,
극장판 뿌이뿌이 모루카 MOLMAX (모루맥스),Pui Pui Molcar the Movie: Molmax,2024,일본,장편,애니메이션,개봉,만큐,
강다니엘: 홀드 유어 브레스,KANGDANIEL: HOLD YOUR BREATH,2025,한국,장편,공연,개봉,박재석,(주)위즈온센
톰과 제리: 황금나침반 대소동,Tom and Jerry: Forbidden Compass,2025,미국,장편,애니메이션,개봉,,
스폰지밥 무비: 네모바지를 찾아서,The SpongeBob Movie: Search for SquarePants,2025,미국,장편,애니메이션,개봉,데릭 드라이먼,
수궁,SUGUNG-THE UNDERWATER PALACE,2023,한국,장편,다큐멘터리,개봉,유수연,더 액티비스트
