영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
땀으로 범벅된 그녀와의 관계,,2026,일본,장편,멜로/로맨스,개봉,,
이반리 장만옥,Manok,2025,한국,장편,"코미디,드라마",개봉,이유진,
달콤한 그녀의 샘물,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
금단의 침실에서 만난 그녀,,2026,일본,장편,멜로/로맨스,개봉,사루,
그녀는 정기털이범,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
오늘 한번 줘라 ,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
백룸,Backrooms,2026,미국,장편,"공포(호러),스릴러",개봉,케인 파슨스,
페루지노. 영원한 르네상스,Perugino. Eternal Renaissance,2023,이탈리아,장편,다큐멘터리,개봉,,
위대한 환상,THE ILLUSION,2025,이탈리아,장편,"전쟁,드라마",개봉,로베르토 안도,
킬러 대 킬러 대 킬러,Exit Protocol,2025,미국,장편,"액션,드라마,스릴러",개봉,,
토이 스토리 5,Toy Story 5,2026,미국,장편,"애니메이션,어드벤처,코미디",개봉,앤드류 스탠튼,
어느 파리 택배기사의 48시간,Souleymane's Story,2024,프랑스,장편,드라마,개봉,보리스 로즈킨,
납치 48시간,The Guardian,2024,한국,장편,액션,개봉,정장환,윌스튜디오 주식회사
교생실습,Teaching Practice : Idiot Girls and School Ghost,2025,한국,장편,"코미디,공포(호러)",개봉,김민하,"(주)26컴퍼니,(주)콘텐츠지"
이상한 과자 가게 전천당,,2026,한국,장편,"판타지,드라마",개봉,박봉섭,(주)빅오션이엔엠
복수에 자비란 없다,Relentless,2025,미국,장편,"액션,스릴러",개봉,,
현상수배,Wanted,2026,"한국,대만",장편,"코미디,액션",개봉,신재호,주식회사 쇼타임웍스
울프 토템,Wolf Totem,2015,중국,장편,어드벤처,개봉,장 자끄 아노,
상자 속의 양,Sheep in The Box,2025,일본,장편,"드라마,SF",개봉,고레에다 히로카즈,
디스클로저 데이,Disclosure Day,2026,미국,장편,"SF,미스터리",개봉,스티븐 스필버그,
극장판 전생했더니 슬라임이었던 건에 대하여 창해의 눈물편,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,2026,일본,장편,애니메이션,개봉,키쿠치 야스히토,
최후의 만찬,THE LAST SUPPER,2025,미국,장편,드라마,개봉,,
투어스 브이알 콘서트 : 러쉬로드,TWS VR CONCERT : RUSH ROAD,2026,한국,장편,"드라마,공연",개봉,김지애,(주)어메이즈브이알코리아
사토상과 사토상,Sato and Sato,2025,일본,장편,드라마,개봉,,
남태령,The Longest Night: Namtaeryeong,2026,한국,장편,다큐멘터리,개봉,김현지,MBC경남
돌핀보이: 푸른 바다의 수호자,Dolphin Boy 2,2026,독일,장편,애니메이션,개봉,,
짱구,Audition 109,2025,한국,장편,드라마,개봉,"정우,오성호",(주)팬엔터테인먼트
마스터즈 오브 유니버스,Masters of the Universe,2026,미국,장편,"액션,어드벤처,판타지,SF",개봉,트래비스 나이트,
쇼타씨의 마지막 출장,Mr Shota’s Last Business Trip,2025,한국,장편,드라마,개봉,이주형,소나기픽처스
푸틴: 절대 권력의 최후,,2024,폴란드,장편,"드라마,범죄",개봉,파트릭 베가,
플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,2026,한국,장편,공연,개봉,,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오"
순례자들은 왜 돌아오지 않는가,Pilgrims,2025,한국,장편,애니메이션,개봉,,(주)21스튜디오
맘보 점보,Mumbo Jumbo,2026,덴마크,장편,애니메이션,개봉,,
고독의 오후,Afternoons of Solitude,2024,"프랑스,포르투갈,스페인",장편,다큐멘터리,개봉,,
뚫려버린 그녀의 꽃잎,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
한 번만 줘!,,2025,한국,장편,멜로/로맨스,개봉,김태수,(주)까멜리아이엔티
동생아내 : 남편보다 아주버님이 더 잘해요,,2025,일본,장편,멜로/로맨스,개봉,,
여자들 : 절대 잊을 수 없는 섹스,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
몰래한 불륜 : 유부녀들,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
스페이스 타임,Space/Time,2025,호주,장편,"SF,스릴러",개봉,,
오펀스: 복수자들,THE ORPHANS,2025,프랑스,장편,액션,개봉,,
여자 마사지사 : 홍콩가는 남자들,,2025,일본,장편,멜로/로맨스,개봉,,
먹고 싶은 여자들,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
거근 채운 젖은 가랑이,,2024,일본,장편,멜로/로맨스,개봉,,
헐떡이는 숨결의 여자,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
한손으로 못잡는 그녀의 거유,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
침대 위에서 벌어진 실수,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
침대 위 거친 숨결,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
참기 힘든 그녀의 명기,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
엉덩이로 삼켜버린 그녀,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
언제든지 벌려주는 거유녀,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
서로를 삼킨 격한 숨소리,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
벌리니 삼키는 그녀의 가랑이,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
무너지는 그녀의 경계,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
몸으로 증명하는 그녀,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
먹고 보는 그녀의 가랑이,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
그녀의 분홍색 속살,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
가랑이 벌린 밤,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
2대1 : 새엄마와 두 아들,,2025,일본,장편,멜로/로맨스,개봉,,
유부녀들 : 홍콩 가는 날,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
킬러웨일: 침묵의 습격자,Killer Whale,2026,미국,장편,"스릴러,공포(호러)",개봉,,
카드캡터 체리 극장판,Cardcaptor SAKURA The movie,1999,일본,장편,애니메이션,개봉,아사카 모리오,
검객 생과사,Drunken Blade,2025,중국,장편,"액션,사극",개봉,,
아버님이 맛보는 가랑이 교육 무삭제판,,2025,일본,장편,멜로/로맨스,개봉,,
파이널 피스,The Final Piece,2025,일본,장편,"미스터리,드라마",개봉,쿠마자와 나오토,
의붓아들에게 뒷문까지 바친 새엄마,SIN IJYOUSEIKOUSUTORI-25,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
유레카,Eureka,2000,일본,장편,드라마,개봉,아오야마 신지,
엔조,Enzo,2025,프랑스,장편,드라마,개봉,로빈 캄필로,
아내와 별거 중 나타난 단백질 도둑녀,IEDENOTUMATO IENUSI,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
미세스 그린 애플 매지컬 10주년 다큐멘터리 필름 ~디 오리진~,MGA MAGICAL 10 YEARS DOCUMENTARY FILM,2025,일본,장편,다큐멘터리,개봉,토요시마 케이스케,
미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,MGA MAGICAL 10 YEARS ANNIVERSARY LIVE ~FJORD~,2025,일본,장편,공연,개봉,,
몽그렐스,Mongrels,2024,캐나다,장편,"드라마,가족",개봉,제롬 유,
만달로리안과 그로구,STAR WARS: THE MANDALORIAN AND GROGU,2026,미국,장편,"액션,어드벤처",개봉,존 파브로,
리마인더스 오브 힘,REMINDERS OF HIM,2026,미국,장편,"드라마,멜로/로맨스",개봉,바네사 캐스윌,
로메리아,Romeria,2025,스페인,장편,"드라마,멜로/로맨스",개봉,카를라 시몬,
더 파이터: 리벤지,Ash Li,2022,중국,장편,액션,개봉,,
피어스,PIERCE,2024,"싱가포르,대만,폴란드",장편,"드라마,스릴러",개봉,,
극장판 호빵맨: 세균맨과 그림책의 루룬,ANPANMAN : Baikinman and Lulun in the Picture Book,2024,일본,장편,애니메이션,개봉,카와고에 준,
1967 그리즐리 어택,Grizzly Night,2026,미국,장편,"액션,스릴러",개봉,,
한복 입은 남자,,2026,한국,장편,"사극,미스터리",개봉,,(주)박스미디어
아이엠 포포,I'm PoPo,2026,한국,장편,"SF,드라마",개봉,,
극장판 내 마음의 위험한 녀석,The Dangers in My Heart: The Movie,2026,일본,장편,애니메이션,개봉,아카기 히로아키,
신극장판 은혼: 요시와라 대염상,Gintama: Yoshiwara in Flames,2026,일본,장편,애니메이션,개봉,,
반칙왕 몽키,The Rule Breaker,2026,한국,장편,다큐멘터리,개봉,"황다은,박홍열",(주)스튜디오그레인풀
너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,Nirvanna the Band the Show the Movie,2025,캐나다,장편,"코미디,어드벤처,SF",개봉,맷 존슨,
1026: 새로운 세상을 위한,,2025,한국,장편,"다큐멘터리,드라마",개봉,최위안,리얼곤시네마
5월18일생,Born on the 18th of May,2024,한국,장편,드라마,개봉,송동윤,에스디와이엔터테인먼트
